country,region,population,area,coastline,net migration,GDP,literacy,phones_per_1000,birthrate,deathrate,agriculture,industry,service
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,0,"23,06",700,36,"3,2","46,6","20,34","0,38","0,24","0,38"
Albania ,EASTERN EUROPE                     ,3581655,28748,"1,26","-4,93",4500,"86,5","71,2","15,11","5,22","0,232","0,188","0,579"
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,"0,04","-0,39",6000,70,"78,1","17,14","4,61","0,101","0,6","0,298"
American Samoa ,OCEANIA                            ,57794,199,"58,29","-20,71",8000,97,"259,5","22,46","3,27",,,
Andorra ,WESTERN EUROPE                     ,71201,468,0,"6,6",19000,100,"497,2","8,71","6,25",,,
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,"0,13",0,1900,42,"7,8","45,11","24,2","0,096","0,658","0,246"
Anguilla ,LATIN AMER. & CARIB    ,13477,102,"59,8","10,76",8600,95,460,"14,17","5,34","0,04","0,18","0,78"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,"34,54","-6,15",11000,89,"549,9","16,93","5,37","0,038","0,22","0,743"
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,"0,18","0,61",11200,"97,1","220,4","16,73","7,55","0,095","0,358","0,547"
Armenia ,C.W. OF IND. STATES ,2976372,29800,0,"-6,47",3500,"98,6","195,7","12,07","8,23","0,239","0,343","0,418"
Aruba ,LATIN AMER. & CARIB    ,71891,193,"35,49",0,28000,97,"516,1","11,03","6,68","0,004","0,333","0,663"
Australia ,OCEANIA                            ,20264082,7686850,"0,34","3,98",29000,100,"565,5","12,14","7,51","0,038","0,262","0,7"
Austria ,WESTERN EUROPE                     ,8192880,83870,0,2,30000,98,"452,2","8,74","9,76","0,018","0,304","0,678"
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,0,"-4,9",3400,97,"137,1","20,74","9,75","0,141","0,457","0,402"
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,13940,"25,41","-2,2",16700,"95,6","460,6","17,57","9,05","0,03","0,07","0,9"
Bahrain ,NEAR EAST                          ,698585,665,"24,21","1,05",16900,"89,1","281,3","17,8","4,14","0,005","0,387","0,608"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,"0,4","-0,71",1900,"43,1","7,3","29,8","8,27","0,199","0,198","0,603"
Barbados ,LATIN AMER. & CARIB    ,279912,431,"22,51","-0,31",15700,"97,4","481,9","12,71","8,67","0,06","0,16","0,78"
Belarus ,C.W. OF IND. STATES ,10293011,207600,0,"2,54",6100,"99,6","319,1","11,16","14,02","0,093","0,316","0,591"
Belgium ,WESTERN EUROPE                     ,10379067,30528,"0,22","1,23",29100,98,"462,6","10,38","10,27","0,01","0,24","0,749"
Belize ,LATIN AMER. & CARIB    ,287730,22966,"1,68",0,4900,"94,1","115,7","28,84","5,72","0,142","0,152","0,612"
